dis_no,year,seq,glide,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,event_name,country,iso,region,continent,location,origin,associated_dis,associated_dis2,ofda_response,appeal,declaration,aid_contribution,dis_mag_value,dis_mag_scale,latitude,longitude,local_time,river_basin,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,no_injured,no_affected,no_homeless,total_affected,reconstruction_costs_000_us,reconstruction_costs_adjusted_000_us,insured_damages_000_us,insured_damages_adjusted_000_us,total_damages_000_us,total_damages_adjusted_000_us,cpi,adm_level,admin1_code,admin2_code,geo_locations,adm1_name,adm2_name,uf,nome_uf,codigo_municipio_completo,nome_municipio
2012-0185-BRA,2012,0185,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Costant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba districts (Amazonas province)",Heavy rains,NA,NA,NA,NA,Yes,NA,127883,Km2,NA,NA,NA,"Negro, Solimoes rivers",2012,5,1,2012,5,20,NA,NA,210000,NA,210000,NA,NA,NA,NA,171000,201816,84.7304788978789,2,NA,6521,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Constant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba (Adm2).",NA,Santa Isabel Do Rio Negro - Amazonas,NA,NA,1303601,Santa Isabel do Rio Negro
2012-0185-BRA,2012,0185,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Costant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba districts (Amazonas province)",Heavy rains,NA,NA,NA,NA,Yes,NA,127883,Km2,NA,NA,NA,"Negro, Solimoes rivers",2012,5,1,2012,5,20,NA,NA,210000,NA,210000,NA,NA,NA,NA,171000,201816,84.7304788978789,2,NA,6522,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Constant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba (Adm2).",NA,Santo Antonio Do Ica - Amazonas,NA,NA,1303700,Santo Antônio do Içá
2012-0185-BRA,2012,0185,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Costant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba districts (Amazonas province)",Heavy rains,NA,NA,NA,NA,Yes,NA,127883,Km2,NA,NA,NA,"Negro, Solimoes rivers",2012,5,1,2012,5,20,NA,NA,210000,NA,210000,NA,NA,NA,NA,171000,201816,84.7304788978789,2,NA,6523,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Constant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba (Adm2).",NA,Sao Gabriel Da Cachoeira - Amazonas,NA,NA,1303809,São Gabriel da Cachoeira
2012-0185-BRA,2012,0185,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Costant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba districts (Amazonas province)",Heavy rains,NA,NA,NA,NA,Yes,NA,127883,Km2,NA,NA,NA,"Negro, Solimoes rivers",2012,5,1,2012,5,20,NA,NA,210000,NA,210000,NA,NA,NA,NA,171000,201816,84.7304788978789,2,NA,6524,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Constant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba (Adm2).",NA,Sao Paulo De Olivenca - Amazonas,NA,NA,1303908,São Paulo de Olivença
2012-0185-BRA,2012,0185,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Costant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba districts (Amazonas province)",Heavy rains,NA,NA,NA,NA,Yes,NA,127883,Km2,NA,NA,NA,"Negro, Solimoes rivers",2012,5,1,2012,5,20,NA,NA,210000,NA,210000,NA,NA,NA,NA,171000,201816,84.7304788978789,2,NA,6526,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Constant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba (Adm2).",NA,Silves - Amazonas,NA,NA,1304005,Silves
2012-0185-BRA,2012,0185,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Costant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba districts (Amazonas province)",Heavy rains,NA,NA,NA,NA,Yes,NA,127883,Km2,NA,NA,NA,"Negro, Solimoes rivers",2012,5,1,2012,5,20,NA,NA,210000,NA,210000,NA,NA,NA,NA,171000,201816,84.7304788978789,2,NA,6527,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Constant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba (Adm2).",NA,Tabatinga - Amazonas,NA,NA,1304062,Tabatinga
2012-0185-BRA,2012,0185,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Costant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba districts (Amazonas province)",Heavy rains,NA,NA,NA,NA,Yes,NA,127883,Km2,NA,NA,NA,"Negro, Solimoes rivers",2012,5,1,2012,5,20,NA,NA,210000,NA,210000,NA,NA,NA,NA,171000,201816,84.7304788978789,2,NA,6529,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Constant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba (Adm2).",NA,Tefe - Amazonas,NA,NA,1304203,Tefé
2012-0185-BRA,2012,0185,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Costant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba districts (Amazonas province)",Heavy rains,NA,NA,NA,NA,Yes,NA,127883,Km2,NA,NA,NA,"Negro, Solimoes rivers",2012,5,1,2012,5,20,NA,NA,210000,NA,210000,NA,NA,NA,NA,171000,201816,84.7304788978789,2,NA,6530,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Constant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba (Adm2).",NA,Tonantins - Amazonas,NA,NA,1304237,Tonantins
2012-0185-BRA,2012,0185,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Costant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba districts (Amazonas province)",Heavy rains,NA,NA,NA,NA,Yes,NA,127883,Km2,NA,NA,NA,"Negro, Solimoes rivers",2012,5,1,2012,5,20,NA,NA,210000,NA,210000,NA,NA,NA,NA,171000,201816,84.7304788978789,2,NA,6531,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Constant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba (Adm2).",NA,Uarini - Amazonas,NA,NA,1304260,Uarini
2012-0185-BRA,2012,0185,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Costant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba districts (Amazonas province)",Heavy rains,NA,NA,NA,NA,Yes,NA,127883,Km2,NA,NA,NA,"Negro, Solimoes rivers",2012,5,1,2012,5,20,NA,NA,210000,NA,210000,NA,NA,NA,NA,171000,201816,84.7304788978789,2,NA,6532,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Constant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba (Adm2).",NA,Urucara - Amazonas,NA,NA,1304302,Urucará
2012-0185-BRA,2012,0185,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Costant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba districts (Amazonas province)",Heavy rains,NA,NA,NA,NA,Yes,NA,127883,Km2,NA,NA,NA,"Negro, Solimoes rivers",2012,5,1,2012,5,20,NA,NA,210000,NA,210000,NA,NA,NA,NA,171000,201816,84.7304788978789,2,NA,6533,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Constant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba (Adm2).",NA,Urucurituba - Amazonas,NA,NA,1304401,Urucurituba
2012-9607-BRA,2012,9607,NA,Natural,Climatological,Drought,Drought,NA,NA,Brazil,BRA,South America,Americas,"Minas Gerias, Pernambuco, Bahia provinces",NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2012,5,NA,2013,5,NA,NA,NA,4000000,NA,4000000,NA,NA,NA,NA,1460000,1723111,84.7304788978789,1,669,NA,"Bahia, Minas Gerais, Pernambuco (Adm1).",Bahia,NA,29,Bahia,NA,NA
2012-9607-BRA,2012,9607,NA,Natural,Climatological,Drought,Drought,NA,NA,Brazil,BRA,South America,Americas,"Minas Gerias, Pernambuco, Bahia provinces",NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2012,5,NA,2013,5,NA,NA,NA,4000000,NA,4000000,NA,NA,NA,NA,1460000,1723111,84.7304788978789,1,677,NA,"Bahia, Minas Gerais, Pernambuco (Adm1).",Minas Gerais,NA,31,Minas Gerais,NA,NA
2012-9607-BRA,2012,9607,NA,Natural,Climatological,Drought,Drought,NA,NA,Brazil,BRA,South America,Americas,"Minas Gerias, Pernambuco, Bahia provinces",NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2012,5,NA,2013,5,NA,NA,NA,4000000,NA,4000000,NA,NA,NA,NA,1460000,1723111,84.7304788978789,1,681,NA,"Bahia, Minas Gerais, Pernambuco (Adm1).",Pernambuco,NA,26,Pernambuco,NA,NA
2013-0003-BRA,2013,0003,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Xerem town (Duque De Caxias district, Rio de Janeiro province)",Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,"Pereque, Capiravi",2013,1,1,2013,1,20,4,NA,200000,NA,200000,NA,NA,NA,NA,2000,2326,85.9716422479773,2,NA,9919,Duque De Caxias (Adm2).,NA,Duque De Caxias - Rio De Janeiro,NA,NA,3301702,Duque de Caxias
2013-0077-BRA,2013,0077,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Petropolis, Magaratiba, Niteroi, Angra dos Reis districts (Rio de Janeiro province) Xerem, Duque de Caxias towns (Duque de Caxais district, Rio de Janeiro province)",Torrential rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,3,17,2013,3,18,30,44,1466,NA,1510,1510,1756,NA,NA,1500,1745,85.9716422479773,2,NA,9895,"Angra Dos Reis, Duque De Caxias, Mangaratiba, Niteroi, Petropolis (Adm2).",NA,Angra Dos Reis - Rio De Janeiro,NA,NA,3300100,Angra dos Reis
2013-0077-BRA,2013,0077,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Petropolis, Magaratiba, Niteroi, Angra dos Reis districts (Rio de Janeiro province) Xerem, Duque de Caxias towns (Duque de Caxais district, Rio de Janeiro province)",Torrential rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,3,17,2013,3,18,30,44,1466,NA,1510,1510,1756,NA,NA,1500,1745,85.9716422479773,2,NA,9919,"Angra Dos Reis, Duque De Caxias, Mangaratiba, Niteroi, Petropolis (Adm2).",NA,Duque De Caxias - Rio De Janeiro,NA,NA,3301702,Duque de Caxias
2013-0077-BRA,2013,0077,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Petropolis, Magaratiba, Niteroi, Angra dos Reis districts (Rio de Janeiro province) Xerem, Duque de Caxias towns (Duque de Caxais district, Rio de Janeiro province)",Torrential rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,3,17,2013,3,18,30,44,1466,NA,1510,1510,1756,NA,NA,1500,1745,85.9716422479773,2,NA,9934,"Angra Dos Reis, Duque De Caxias, Mangaratiba, Niteroi, Petropolis (Adm2).",NA,Mangaratiba - Rio De Janeiro,NA,NA,3302601,Mangaratiba
2013-0077-BRA,2013,0077,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Petropolis, Magaratiba, Niteroi, Angra dos Reis districts (Rio de Janeiro province) Xerem, Duque de Caxias towns (Duque de Caxais district, Rio de Janeiro province)",Torrential rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,3,17,2013,3,18,30,44,1466,NA,1510,1510,1756,NA,NA,1500,1745,85.9716422479773,2,NA,9941,"Angra Dos Reis, Duque De Caxias, Mangaratiba, Niteroi, Petropolis (Adm2).",NA,Niteroi - Rio De Janeiro,NA,NA,3303302,Niterói
2013-0077-BRA,2013,0077,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Petropolis, Magaratiba, Niteroi, Angra dos Reis districts (Rio de Janeiro province) Xerem, Duque de Caxias towns (Duque de Caxais district, Rio de Janeiro province)",Torrential rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,3,17,2013,3,18,30,44,1466,NA,1510,1510,1756,NA,NA,1500,1745,85.9716422479773,2,NA,9948,"Angra Dos Reis, Duque De Caxias, Mangaratiba, Niteroi, Petropolis (Adm2).",NA,Petropolis - Rio De Janeiro,NA,NA,3303906,Petrópolis
2013-0521-BRA,2013,0521,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Belford Roxo, Duque de Caxias, Nilopolis, Nova Iguaçu, Queimados, Rio de Janeiro and Sao JoaoDe Meriti districts (Rio de Janeiro province)",Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2013,12,12,2013,12,12,2,NA,2000,NA,2000,NA,NA,NA,NA,NA,NA,85.9716422479773,2,NA,9903,"Belford Roxo, Duque De Caxias, Nilopolis, Nova Iguacu, Queimados, Rio De Janeiro, Sao Joao De Meriti (Adm2).",NA,Belford Roxo - Rio De Janeiro,NA,NA,3300456,Belford Roxo
2013-0521-BRA,2013,0521,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Belford Roxo, Duque de Caxias, Nilopolis, Nova Iguaçu, Queimados, Rio de Janeiro and Sao JoaoDe Meriti districts (Rio de Janeiro province)",Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2013,12,12,2013,12,12,2,NA,2000,NA,2000,NA,NA,NA,NA,NA,NA,85.9716422479773,2,NA,9919,"Belford Roxo, Duque De Caxias, Nilopolis, Nova Iguacu, Queimados, Rio De Janeiro, Sao Joao De Meriti (Adm2).",NA,Duque De Caxias - Rio De Janeiro,NA,NA,3301702,Duque de Caxias
2013-0521-BRA,2013,0521,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Belford Roxo, Duque de Caxias, Nilopolis, Nova Iguaçu, Queimados, Rio de Janeiro and Sao JoaoDe Meriti districts (Rio de Janeiro province)",Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2013,12,12,2013,12,12,2,NA,2000,NA,2000,NA,NA,NA,NA,NA,NA,85.9716422479773,2,NA,9940,"Belford Roxo, Duque De Caxias, Nilopolis, Nova Iguacu, Queimados, Rio De Janeiro, Sao Joao De Meriti (Adm2).",NA,Nilopolis - Rio De Janeiro,NA,NA,3303203,Nilópolis
2013-0521-BRA,2013,0521,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Belford Roxo, Duque de Caxias, Nilopolis, Nova Iguaçu, Queimados, Rio de Janeiro and Sao JoaoDe Meriti districts (Rio de Janeiro province)",Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2013,12,12,2013,12,12,2,NA,2000,NA,2000,NA,NA,NA,NA,NA,NA,85.9716422479773,2,NA,9943,"Belford Roxo, Duque De Caxias, Nilopolis, Nova Iguacu, Queimados, Rio De Janeiro, Sao Joao De Meriti (Adm2).",NA,Nova Iguacu - Rio De Janeiro,NA,NA,3303500,Nova Iguaçu
2013-0521-BRA,2013,0521,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Belford Roxo, Duque de Caxias, Nilopolis, Nova Iguaçu, Queimados, Rio de Janeiro and Sao JoaoDe Meriti districts (Rio de Janeiro province)",Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2013,12,12,2013,12,12,2,NA,2000,NA,2000,NA,NA,NA,NA,NA,NA,85.9716422479773,2,NA,9954,"Belford Roxo, Duque De Caxias, Nilopolis, Nova Iguacu, Queimados, Rio De Janeiro, Sao Joao De Meriti (Adm2).",NA,Queimados - Rio De Janeiro,NA,NA,3304144,Queimados
2013-0521-BRA,2013,0521,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Belford Roxo, Duque de Caxias, Nilopolis, Nova Iguaçu, Queimados, Rio de Janeiro and Sao JoaoDe Meriti districts (Rio de Janeiro province)",Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2013,12,12,2013,12,12,2,NA,2000,NA,2000,NA,NA,NA,NA,NA,NA,85.9716422479773,2,NA,9961,"Belford Roxo, Duque De Caxias, Nilopolis, Nova Iguacu, Queimados, Rio De Janeiro, Sao Joao De Meriti (Adm2).",NA,Rio De Janeiro - Rio De Janeiro,NA,NA,3304557,Rio de Janeiro
2013-0521-BRA,2013,0521,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Belford Roxo, Duque de Caxias, Nilopolis, Nova Iguaçu, Queimados, Rio de Janeiro and Sao JoaoDe Meriti districts (Rio de Janeiro province)",Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2013,12,12,2013,12,12,2,NA,2000,NA,2000,NA,NA,NA,NA,NA,NA,85.9716422479773,2,NA,9968,"Belford Roxo, Duque De Caxias, Nilopolis, Nova Iguacu, Queimados, Rio De Janeiro, Sao Joao De Meriti (Adm2).",NA,Sao Joao De Meriti - Rio De Janeiro,NA,NA,3305109,São João de Meriti
